pattern,name,difficulty_id,link,description
array,Two Sum,1,https://leetcode.com/problems/two-sum,"use hash map to instantly check for difference value, map will add index of last occurrence of a num, don’t use same element twice;"
array,Best Time to Buy and Sell Stock,1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"find local min and search for local max, sliding window;"
array,Contains Duplicate,1,https://leetcode.com/problems/contains-duplicate,"hashset to get unique values in array, to check for duplicates easily"
array,Product of Array Except Self,2,https://leetcode.com/problems/product-of-array-except-self,"make two passes, first in-order, second in-reverse, to compute products"
array,Maximum Subarray,1,https://leetcode.com/problems/maximum-subarray,"pattern: prev subarray cant be negative, dynamic_programming: compute max sum for each prefix"
array,Maximum Product Subarray,2,https://leetcode.com/problems/maximum-product-subarray,dp: compute max and max-abs-val for each prefix subarr;
array,Find Minimum in Rotated Sorted Array,2,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"check if half of array is sorted in order to find pivot, arr is guaranteed to be in at most two sorted subarray"
array,Search in Rotated Sorted Array,2,https://leetcode.com/problems/search-in-rotated-sorted-array,"at most two sorted halfs, mid will be apart of left sorted or right sorted, if target is in range of sorted portion then search it, otherwise search other half"
array,3Sum,2,https://leetcode.com/problems/3sum,"sort input, for each first element, find next two where -a = b+c, if a=prevA, skip a, if b=prevB skip b to elim duplicates; to find b,c use two pointers, left/right on remaining list;"
array,Container With Most Water,2,https://leetcode.com/problems/container-with-most-water,"shrinking window, left/right initially at endpoints, shift the pointer with min height;"
bit_manipulation,Sum of Two Integers,1,https://leetcode.com/problems/sum-of-two-integers,"add bit by bit, be mindful of carry, after adding, if carry is still 1, then add it as well;"
bit_manipulation,Number of 1 Bits,1,https://leetcode.com/problems/number-of-1-bits,"modulo, and dividing n; mod and div are expensive, to divide use bit shift, instead of mod to get 1's place use bitwise & 1;"
bit_manipulation,Counting Bits,2,https://leetcode.com/problems/counting-bits,"write out result for num=16 to figure out pattern; res[i] = res[i - offset], where offset is the biggest power of 2 <= I;"
bit_manipulation,Missing Number,1,https://leetcode.com/problems/missing-number,compute expected sum - real sum; xor n with each index and value;
bit_manipulation,Reverse Bits,1,https://leetcode.com/problems/reverse-bits,reverse each of 32 bits;
dynamic_programming,Climbing Stairs,1,https://leetcode.com/problems/climbing-stairs,"subproblem find (n-1) and (n-2), sum = n;"
dynamic_programming,Coin Change,2,https://leetcode.com/problems/coin-change,"top-down: recursive dfs, for amount, branch for each coin, cache to store prev coin_count for each amount; bottom-up: compute coins for amount = 1, up until n, using for each coin (amount - coin), cache prev values"
dynamic_programming,Longest Increasing Subsequence,2,https://leetcode.com/problems/longest-increasing-subsequence,"recursive: foreach num, get subseq with num and without num, only include num if prev was less, cache solution of each; dp=subseq length which must end with each num, curr num must be after a prev dp or by itself;"
dynamic_programming,Longest Common Subsequence,2,https://leetcode.com/problems/longest-common-subsequence,"recursive: if first chars are equal find lcs of remaining of each, else max of: lcs of first and remain of 2nd and lcs of 2nd remain of first, cache result; nested forloop to compute the cache without recursion;"
dynamic_programming,Word Break Problem,2,https://leetcode.com/problems/word-break,"for each prefix, if prefix is in dict and wordbreak(remaining str)=True, then return True, cache result of wordbreak;"
dynamic_programming,Combination Sum,2,https://leetcode.com/problems/combination-sum,"visualize the decision tree, base case is curSum = or > target, each candidate can have children of itself or elements to right of it inorder to elim duplicate solutions;"
dynamic_programming,House Robber,1,https://leetcode.com/problems/house-robber,"for each num, get max of prev subarr, or num + prev subarr not including last element, store results of prev, and prev not including last element"
dynamic_programming,House Robber II,2,https://leetcode.com/problems/house-robber-ii,"subarr = arr without first & last, get max of subarr, then pick which of first/last should be added to it"
dynamic_programming,Decode Ways,2,https://leetcode.com/problems/decode-ways,"can cur char be decoded in one or two ways? Recursion -> cache -> iterative dp solution, a lot of edge cases to determine, 52, 31, 29, 10, 20 only decoded one way, 11, 26 decoded two ways"
dynamic_programming,Unique Paths,2,https://leetcode.com/problems/unique-paths,"work backwards from solution, store paths for each position in grid, to further optimize, we don’t store whole grid, only need to store prev row;"
dynamic_programming,Jump Game,2,https://leetcode.com/problems/jump-game,"visualize the recursive tree, cache solution for O(n) time/mem complexity, iterative is O(1) mem, just iterate backwards to see if element can reach goal node, if yes, then set it equal to goal node, continue;"
graph,Clone Graph,2,https://leetcode.com/problems/clone-graph,"recursive dfs, hashmap for visited nodes"
graph,Course Schedule,2,https://leetcode.com/problems/course-schedule,"build adjacentcy_list with edges, run dfs on each V, if while dfs on V we see V again, then loop exists, otherwise V isnt in a loop, 3 states= not visited, visited, still visiting"
graph,Pacific Atlantic Water Flow,2,https://leetcode.com/problems/pacific-atlantic-water-flow,"dfs each cell, keep track of visited, and track which reach pac, atl; dfs on cells adjacent to pac, atl, find overlap of cells that are visited by both pac and atl cells;"
graph,Number of Islands,2,https://leetcode.com/problems/number-of-islands,"foreach cell, if cell is 1 and unvisited run dfs, increment cound and marking each contigous 1 as visited"
graph,Longest Consecutive Sequence,3,https://leetcode.com/problems/longest-consecutive-sequence,"use bruteforce and try to optimize, consider the max subseq containing each num; add each num to hashset, for each num if num-1 doesn’t exist, count the consecutive nums after num, ie num+1; there is also a union-find solution;"
graph,Alien Dictionary (Leetcode Premium),3,https://leetcode.com/problems/alien-dictionary,"chars of a word not in order, the words are in order, find adjacency list of each unique char by iterating through adjacent words and finding first chars that are different, run topsort on graph and do loop detection;"
graph,Graph Valid Tree (Leetcode Premium),2,https://leetcode.com/problems/graph-valid-tree,"union find, if union return false, loop exists, at end size must equal n, or its not connected; dfs to get size and check for loop, since each edge is double, before dfs on neighbor of N, remove N from neighbor list of neighbor;"
graph,Number of Connected Components in an Undirected Graph (Leetcode Premium),2,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"dfs on each node that hasn’t been visited, increment component count, adjacency list; bfs and union find are possible;"
interval,Insert Interval,3,https://leetcode.com/problems/insert-interval,"insert new interval in order, then merge intervals; newinterval could only merge with one interval that comes before it, then add remaining intervals;"
interval,Merge Intervals,2,https://leetcode.com/problems/merge-intervals,"sort each interval, overlapping intervals should be adjacent, iterate and build solution; also graph method, less efficient, more complicated"
interval,Non-overlapping Intervals,2,https://leetcode.com/problems/non-overlapping-intervals,"instead of removing, count how max num of intervals you can include, sort intervals, dp to compute max intervals up until the i-th interval;"
interval,Meeting Rooms (Leetcode Premium),1,https://leetcode.com/problems/meeting-rooms,"sort intervals by start time, if second interval doesn’t overlap with first, then third def wont overlap with first;"
interval,Meeting Rooms II (Leetcode Premium),2,https://leetcode.com/problems/meeting-rooms-ii,"we care about the points in time where we are starting/ending a meeting, we already are given those, just separate start/end and traverse counting num of meetings going at these points in time; for each meeting check if a prev meeting has finished before curr started, using min heap;"
linked_list,Reverse a Linked List,1,https://leetcode.com/problems/reverse-linked-list,"iterate through maintaining cur and prev; recursively reverse, return new head of list"
linked_list,Detect Cycle in a Linked List,1,https://leetcode.com/problems/linked-list-cycle,"dict to remember visited nodes; two pointers at different speeds, if they meet there is loop"
linked_list,Merge Two Sorted Lists,1,https://leetcode.com/problems/merge-two-sorted-lists,insert each node from one list into the other
linked_list,Merge K Sorted Lists,3,https://leetcode.com/problems/merge-k-sorted-lists,"divied and conquer, merge lists, N totalnodes, k-lists, O(N*logk). For each list, find min val, insert it into list, use priorityQ to optimize finding min O(N*logk)"
